post_title,data_provider,post_excerpt,use_case,related_data_sets,rating,data_categories
Research & Markets: Subscriptions,Research and Markets,"Research & Markets: Subscriptions dataset provides information regarding: Company Data,B2B Marketing Fit Data,Economic Data,Trade Data and more.","Product Performance Forecasting,Portfolio Management","IVC Israeli Tech Data API Subscription,Research & Markets: World's Largest Market Research Store,IPinfo.io IP API | Premium Plan Subscription with 2.5 Million API Requests,Caeli Ozone (O3) Air Quality - Worldwide - Subscription data :",4,"Company Data,B2B Marketing Fit Data,Economic Data,Trade Data"
Research & Markets: World's Largest Market Research Store,Research and Markets,"Research & Markets: World's Largest Market Research Store dataset provides information regarding: Company Data,B2B Marketing Fit Data,Marketing Attribution Data,Economic Data and more.",Marketing Localization Strategy,"Research & Markets: Custom Research,Data Visualization | Market Research | Custom Business Reports,FACTSET News & Research Data (Global Coverage) - Real-time Market & Financial Intelligence,Airbnb data for research purpose :",3,"Company Data,B2B Marketing Fit Data,Marketing Attribution Data,Economic Data"
VISIT Data - Visits to PoIs Location Data by Reveal Mobile (USA & Canada),Reveal Mobile,"VISIT Data - Visits to PoIs Location Data by Reveal Mobile (USA & Canada) dataset provides information regarding: Location Data,Demographic Data,Tourism Data and more.",,"Behavioral & Demographic Audience Data,Tamoco Store Visits USA | visitation data to brands and Point-of-Interests,InMarkets Projected Visits Counts, Location & POI Data for USA and Canada with MAIDs (>200M Devices),Veraset Visits Data, Visitation data to over 6 million POI's across the US :",5,"Location Data,Demographic Data,Tourism Data"
VISIT Local - OOH Attribution + Audiences based on Location Data (USA & Canada),Reveal Mobile,"VISIT Local - OOH Attribution + Audiences based on Location Data (USA & Canada) dataset provides information regarding: Location Data,Demographic Data and more.",,"VISIT Data - Visits to PoIs Location Data,Gravy Analytics Custom Audience Creation USA & Canada -- intent audiences based on consumer visits to real-world places,FrescoData Direct Mail Marketing (Consumer Intent Based Attributes/Lifestyle Data)Global Audiences, 10K+ Attributes,Success Attribution for marketing agencies :",3,"Location Data,Demographic Data"
"High Volume, Privacy-Compliant Location Data via VISIT Match (USA & Canada)",Reveal Mobile,"High Volume, Privacy-Compliant Location Data via VISIT Match (USA & Canada) dataset provides information regarding: Location Data,Demographic Data and more.",,"VISIT Data - Visits to PoIs Location Data,Scanbuy US mobile consumer GPS lat/long location data hourly updates 35M DAUs from US mobile phones (Privacy-compliant, iOS and Android via app/SDK),Solipay Worldwide GDPR-Compliant Location Data, 30M records,InMarkets Visitation, Location & POI Data for USA and Canada without MAIDs (>200M Devices) :",4,"Location Data,Demographic Data"
Behavioral & Demographic Audience Data by Reveal Mobile (Canada),Reveal Mobile,"Behavioral & Demographic Audience Data by Reveal Mobile (Canada) dataset provides information regarding: Demographic Data,Location Data and more.",,"Datonics Web Browsing Data for USA & Canada (Interest, Intent, Life Stage, Behavioral Audiences),VISIT Data - Visits to PoIs Location Data,OnAudience - User Behavior Data Stream (Raw Data Feeds),Mapping Resources: Canada Demographic Data :",5,"Demographic Data,Location Data"
"SafeGraph Geometry | US, UK, Canada POI Footprints and Spatial Hierarchy Metadata",SafeGraph,"SafeGraph Geometry | US, UK, Canada POI Footprints and Spatial Hierarchy Metadata dataset provides information regarding: Map Data,Tourism Data,Construction Industry Data and more.",Supplier Risk,"SafeGraph Visit Attribution Data - US, UK, Canada| POI and Business Listing Information with Building Footprints and Spatial Hierarchy Metadata,SafeGraph Core Places | US, UK, Canada POI and Business Listing Information,Echo Analytics - 4M Building Footprints across the EU-5,LDU | Building Footprint | Greece ( :",4,"Map Data,Tourism Data,Construction Industry Data"
"SafeGraph Patterns | US, Canada Foot-traffic, Visitor, and Demographic Aggregations",SafeGraph,"SafeGraph Patterns | US, Canada Foot-traffic, Visitor, and Demographic Aggregations dataset provides information regarding: Location Data, Foot Traffic Data and more.","Geospatial Effort Prioritization/Store Location Planning,Portfolio Management","SafeGraph Neighborhood Patterns - US, Canada | Foot-traffic, Visitor, and Demographic Aggregations for Census Block Groups,SafeGraph Retail Monitoring Data - US, UK, Canada | POI and Business Listing Information and Foot-traffic, Visitor, and Demographic Aggregations,Almanac Platform - Shopper traffic, Demographics, and Journey Data - 240M mobile devices,Mapping Resources: Canada Demographic Data :",4,"Location Data, Foot Traffic Data"
"SafeGraph Retail Monitoring Data - US, UK, Canada | POI and Business Listing Information and Foot-traffic, Visitor, and Demographic Aggregations",SafeGraph,"SafeGraph Retail Monitoring Data - US, UK, Canada | POI and Business Listing Information and Foot-traffic, Visitor, and Demographic Aggregations dataset provides information regarding: Map Data,Business Registry Data,Location Data and more.",Geospatial Effort Prioritization/Store Location Planning,"SafeGraph Site Selection Data - US, UK, Canada | POI and Business Listing Information and Foot-traffic, Visitor, and Demographic Aggregations,SafeGraph Patterns | US, Canada Foot-traffic, Visitor, and Demographic Aggregations,US Foot Traffic and Shopper Journey Data,INRIX Historical Traffic Information (Traffic Data for Europe and North America) :",5,"Map Data,Business Registry Data,Location Data"
"SafeGraph Neighborhood Patterns - US, Canada | Foot-traffic, Visitor, and Demographic Aggregations for Census Block Groups",SafeGraph,"SafeGraph Neighborhood Patterns - US, Canada | Foot-traffic, Visitor, and Demographic Aggregations for Census Block Groups dataset provides information regarding: Economic Data and more.","Geospatial Effort Prioritization/Store Location Planning,Portfolio Management","SafeGraph Patterns | US, Canada Foot-traffic, Visitor, and Demographic Aggregations,Market Vue's Green Vue Neighborhoods, 217,000 + USA neighborhoods, green propensity score,SafeGraph Site Selection Data - US, UK, Canada | POI and Business Listing Information and Foot-traffic, Visitor, and Demographic Aggregations,TovoData U.S. Neighborhood Data :",4,Economic Data
"SafeGraph Visit Attribution Data - US, UK, Canada| POI and Business Listing Information with Building Footprints and Spatial Hierarchy Metadata",SafeGraph,"SafeGraph Visit Attribution Data - US, UK, Canada| POI and Business Listing Information with Building Footprints and Spatial Hierarchy Metadata dataset provides information regarding: Map Data,Business Registry Data,Location Data and more.",Geospatial Effort Prioritization/Store Location Planning,"SafeGraph Geometry | US, UK, Canada POI Footprints and Spatial Hierarchy Metadata,SafeGraph Core Places | US, UK, Canada POI and Business Listing Information,Echo Analytics - 4M Building Footprints across the EU-5,LDU | Building Footprint | Greece ( :",4,"Map Data,Business Registry Data,Location Data"
"SafeGraph Core Places | US, UK, Canada POI and Business Listing Information",SafeGraph,"SafeGraph Core Places | US, UK, Canada POI and Business Listing Information dataset provides information regarding: Map Data,Business Registry Data,Location Data,Tourism Data and more.",Geospatial Effort Prioritization/Store Location Planning,"SafeGraph Site Selection Data - US, UK, Canada | POI and Business Listing Information and Foot-traffic, Visitor, and Demographic Aggregations,Accutrend Data: B2B New Business Registration Information for USA,InQuartik-PATENT LISTING: Patent Information Detailed with Key Data Fields,SafeGraph Retail Monitoring Data - US, UK, Canada | POI and Business Listing Information and Foot-traffic, Visitor, and Demographic Aggregations :",5,"Map Data,Business Registry Data,Location Data,Tourism Data"
"SafeGraph Site Selection Data - US, UK, Canada | POI and Business Listing Information and Foot-traffic, Visitor, and Demographic Aggregations",SafeGraph,"SafeGraph Site Selection Data - US, UK, Canada | POI and Business Listing Information and Foot-traffic, Visitor, and Demographic Aggregations dataset provides information regarding: Map Data,Business Registry Data,Location Data and more.",Geospatial Effort Prioritization/Store Location Planning,"SafeGraph Retail Monitoring Data - US, UK, Canada | POI and Business Listing Information and Foot-traffic, Visitor, and Demographic Aggregations,SafeGraph Patterns | US, Canada Foot-traffic, Visitor, and Demographic Aggregations,INRIX Historical Traffic Information (Traffic Data for Europe and North America),Mapping Resources: HERE Maps Geographic Information Systems Data :",5,"Map Data,Business Registry Data,Location Data"
Free POI Data: SafeGraph Core Places - Entire Canada (Essential Columns),SafeGraph,"Free POI Data: SafeGraph Core Places - Entire Canada (Essential Columns) dataset provides information regarding: Map Data,Business Registry Data,Location Data,Tourism Data and more.",Geospatial Effort Prioritization/Store Location Planning,"Free POI Data: SafeGraph Core Places - United Kingdom (Essential Columns),SafeGraph Core Places | US, UK, Canada POI and Business Listing Information,Places API & POI from Mapthrust,BusinessCore Essentials :",5,"Map Data,Business Registry Data,Location Data,Tourism Data"
#Crosswalk by Stirista: Behavioral Intent Visitors Location Data,Stirista,"#Crosswalk by Stirista: Behavioral Intent Visitors Location Data dataset provides information regarding: Location Data,Retail & Commerce Data and more.",Targeted Marketing,"Datonics Web Browsing Data for USA & Canada (Interest, Intent, Life Stage, Behavioral Audiences),Stirista's Instant Intent Data,Behavioral & Demographic Audience Data,Location Data from China and Korea at individual level enable one to analyse the consumer behaviour :",3,"Location Data,Retail & Commerce Data"
Stirista Higher Education College Student and Gen Z Data,Stirista,"Stirista Higher Education College Student and Gen Z Data dataset provides information regarding: Individual Data,Consumer Lifestyle Data and more.","Targeted Marketing,Online and Social Media Performance Tracking","Education Industry Data - School Data - Reach Out to Educational Institutions, Schools and Colleges With Ease,USA College Student Database - ASL Marketing,Stirista B2B Social Media Data,Student Loan Debt - Masterfile :",4,"Individual Data,Consumer Lifestyle Data"
Stirista Consumer Data: Digital Audiences and Offline File License,Stirista,"Stirista Consumer Data: Digital Audiences and Offline File License dataset provides information regarding: Demographic Data,Individual Data and more.",Online and Social Media Performance Tracking,"Stirista B2B Contact Data: Digital Audience Segments and Offline File License,Stirista B2B Company Data: Offline File License,Digitally formatted B2B Audiences,ThinkCX | Digital Advertising Audiences for North American Telecoms (200M Devices) :",4,"Demographic Data,Individual Data"
Stirista B2B Contact Data: Digital Audience Segments and Offline File License,Stirista,"Stirista B2B Contact Data: Digital Audience Segments and Offline File License dataset provides information regarding: B2B Intent Data,B2B Data,B2B Marketing Fit Data and more.",,"Stirista Consumer Data: Digital Audiences and Offline File License,OnAudience - Audience Data (1,200 ready-made segments),B2B SOHO & SMB Contact Data License,Stirista B2B Company Data: Offline File License :",4,"B2B Intent Data,B2B Data,B2B Marketing Fit Data"
Stirista Powerlytics Fusion: Aggregated Tax Return Data,Stirista,"Stirista Powerlytics Fusion: Aggregated Tax Return Data dataset provides information regarding: Individual Data,Economic Data,Consumer Lifestyle Data,Demographic Data and more.",,"Stirista Aberdeen Fusion B2B Technology Installed Data,Yodlee's Aggregate Panel (US Consumer Transaction Data Aggregated,Goldbaum Aggregated Fund Portfolio and Basket Analytics for ETF/ETP/ETCs - Global Coverage,Market Vectors Monthly App and Web Usage in Indonesia aggregated :",4,"Individual Data,Economic Data,Consumer Lifestyle Data,Demographic Data"
Stirista's Instant Intent Data,Stirista,"Stirista's Instant Intent Data dataset provides information regarding: TV Streaming Rating Data,Tourism Data,Sports & Entertainment Data,Individual Data and more.","Behavioral Targeting,Online and Social Media Performance Tracking,Targeted Marketing","Stirista B2B Social Media Data,TowerData Instant Data - Identity Data for USA,True Influence Intent Data USA & Canada for Advertising - 7000 intent topics matched to contact intent scores,Coresignal B2B Data via Real-Time API / Global / Near-instant Scraping and Delivery of Member & Company Records :",4,"TV Streaming Rating Data,Tourism Data,Sports & Entertainment Data,Individual Data"
Stirista Consumer Demographic and Multicultural Data,Stirista,"Stirista Consumer Demographic and Multicultural Data dataset provides information regarding: Demographic Data,Individual Data and more.","Online and Social Media Performance Tracking,Targeted Marketing","Demografy's Consumer Demographics Prediction,Blue Mail Media's Consumer Demographic Data - Employment Data, Age Data, Gender Data.,DemoIQ,BIGDBM USA Consumer, Demographic, Interest Database, Property and Intender FIle :",5,"Demographic Data,Individual Data"
"Stirista Life Event Data: New Movers, New Moms, Newly Engaged, Newlyweds, New Business Owners",Stirista,"Stirista Life Event Data: New Movers, New Moms, Newly Engaged, Newlyweds, New Business Owners dataset provides information regarding: Consumer Lifestyle Data,Real Estate Data,Individual Data and more.","Online and Social Media Performance Tracking,Targeted Marketing","Life Event Data for U.S. Consumers - Movers, Newly Engaged, Newly Married, Newly Single, Prenatal, New Baby,New Mover Data on U.S. Consumers - Pre-movers, Homeowners At Listing, Homeowners Under Contract, Newly Moved Renters, Newly Moved Homeowners,Multimedia Lists - New Mover Data of US consumers (19.6 million new home owners),NQN(Nikkei QUICK News) Market News :",5,"Consumer Lifestyle Data,Real Estate Data,Individual Data"
Stirista B2B Social Media Data,Stirista,"Stirista B2B Social Media Data dataset provides information regarding: B2B Marketing Fit Data,Website Data,Business Registry Data and more.",,"X-Byte Social Media Data | Social Media Analytics | Scrape Data from Social Media Websites,Social Media Listening | Consumer Insights | Social Media Data,Social Media Analytics | Scrape Data from Social Media Websites,LinkedIn - Social Listening Data (Posts) - Social Media Sentiment Data :",4,"B2B Marketing Fit Data,Website Data,Business Registry Data"
Stirista Aberdeen Fusion B2B Technology Installed Data,Stirista,"Stirista Aberdeen Fusion B2B Technology Installed Data dataset provides information regarding: Technographics Data,B2B Intent Data,B2B Data and more.",,"Tech Install Data / Technology User Intelligence (B2B),B2B Company Technology Stack / Install Base Data Europe, USA, APAC (2 Million accounts) -,Wappalyzer Technology Installs on Websites - Crawl API - Technographic Data,DataCaptive | B2B Contact, Technology and Tech Install Database Worldwide | 53M+ B2B contact information :",4,"Technographics Data,B2B Intent Data,B2B Data"
USA Healthcare Data for Multi channel marketing-Email-Phone-Direct Mail,Thomson Data,"USA Healthcare Data for Multi channel marketing-Email-Phone-Direct Mail dataset provides information regarding: B2B Marketing Fit Data,Healthcare Data,Marketing Attribution Data,B2B Data,Individual Data and more.",,"Healthcare Marketing Data | B2b Healthcare leads | Healthcare Email List - MedicoReach,Global B2B Marketing Database-Multichannel with email,phone and postal,Adstra Health | Healthcare Marketing Data USA 100% HIPAA compliant,B2B Lists LLC / Healthcare email list/ Opt-in/ USA and Globe / 2.4M :",4,"B2B Marketing Fit Data,Healthcare Data,Marketing Attribution Data,B2B Data,Individual Data"
B2B Kontaktdaten - Global Reach with 70 Million Records in 100 Countries - Thomson Data,Thomson Data,B2B Kontaktdaten - Global Reach with 70 Million Records in 100 Countries - Thomson Data dataset provides information regarding: B2B Data and more.,Lead Scoring,"B2B Data - Global Reach with 70 Million Records in 100 Countries - Thomson Data,B2B Email Data - Reach 70 Million Records in 100 Countries - Thomson Data,B2B Contact Data - Reach B2B Executives With Our Verified B2B Contact List, 100M+ Business Records,Eskimi's Telecom Data Stream in 100+ countries. Reach 2Bln unique device IDs :",5,B2B Data
"B2B Decision Maker Data in USA, Canada, UK, Germany, Australia - Thomson Data",Thomson Data,"B2B Decision Maker Data in USA, Canada, UK, Germany, Australia - Thomson Data dataset provides information regarding: B2B Intent Data and more.","Targeted Marketing,Lead Scoring","B2B International Executive Contact Database in USA, Canada, UK, Germany, Australia - Thomson Data,Photon Commerce - B2B Decision-Maker Contact Data (2.5M+ B2B contacts in US & Canada),B2B Decision Makers - Contact Data across all main Industries and SMBs (DACH, UK, France),B2B Contact Database of Decision Makers based on Industry Selection in Germany, Switzerland, Austria - Address-Base :",5,B2B Intent Data
Small Business Contact Data - Helps you reach Small Businesses across the Globe - Thomson Data,Thomson Data,Small Business Contact Data - Helps you reach Small Businesses across the Globe - Thomson Data dataset provides information regarding:  and more.,"Targeted Marketing,Lead Scoring","CEO Contact Data - Reach CEOs Across the Globe - Thomson Data,Small Business Contact Data - Reap Higher ROI With Our Small Business Owners Data,Open for Business B2B USA & Canada - 50MM US Contacts, 30MM US Businesses, Decision Makers, Small Business Owners, IT,Company profiles of small businesses :",3,
B2B Contact Data Worldwide by Industry - reach executives in your target industry - Thomson Data,Thomson Data,"B2B Contact Data Worldwide by Industry - reach executives in your target industry - Thomson Data dataset provides information regarding: B2B Data,Firmographic Data and more.","Targeted Marketing,Lead Scoring","Industry Data - Reach Executives Across Various Industries With Our Vast 60M+ Verified Records,B2B Executive Professional Database Worldwide, 130 Million Contacts (C-Suite, VP, Directors) - Thomson Data,Canada B2B Companies Data, Phones, Emails, Addresses, Websites, Industries, Executives,US Education Industry Professionals | B2B Contact Data :",3,"B2B Data,Firmographic Data"
Enterprise B2B Contact Data - Reach Potential Prospects with over 85 Million Authentic and Verified Records - Thomson Data,Thomson Data,Enterprise B2B Contact Data - Reach Potential Prospects with over 85 Million Authentic and Verified Records - Thomson Data dataset provides information regarding:  and more.,"Targeted Marketing,Lead Scoring","Enterprise Contact Data and Corporate Data - Reach B2B Executives With Our Verified Business Records,B2B Marketing Data - Reach out to Prospects Easily - Thomson Data,X-ray Data | 1831+ Authentic X-ray Database - Medico Reach,Cloudlead Premium B2B Contact Data Portal With Over 500 Million Records, Global Coverage :",3,
HR Data - Reach HR professionals across the world - Thomson Data,Thomson Data,HR Data - Reach HR professionals across the world - Thomson Data dataset provides information regarding: Firmographic Data and more.,"Targeted Marketing,Lead Scoring","HR Data - Reach HR Decision Makers, HR Professionals With Ease,Corporate Contact Data - reach corporate executives and professionals across the globe - Thomson Data,APAC Leads | Reach the Top Professionals Globally incl. Japan, Singapore - 44 Million Professionals,Health Services Professionals USA | B2B Data :",3,Firmographic Data
"B2B Executive Professional Database Worldwide, 130 Million Contacts (C-Suite, VP, Directors) - Thomson Data",Thomson Data,"B2B Executive Professional Database Worldwide, 130 Million Contacts (C-Suite, VP, Directors) - Thomson Data dataset provides information regarding: B2B Data,Business Registry Data,Firmographic Data and more.","Targeted Marketing,Lead Scoring","Corporate Contact Data - reach corporate executives and professionals across the globe - Thomson Data,B2B C- Level, Executives and Professionals Contact Data & Email List A* USA. 95% Deliverablity Guarantee, Plus 3 months Email List Hygiene Free.,Healthcare Professional Email List (1.2 million contacts),Physicians and Healthcare professionals Database USA (email,phone,NPI) 2.1 Million contacts - :",3,"B2B Data,Business Registry Data,Firmographic Data"
Corporate Contact Data - reach corporate executives and professionals across the globe - Thomson Data,Thomson Data,Corporate Contact Data - reach corporate executives and professionals across the globe - Thomson Data dataset provides information regarding: Firmographic Data and more.,"Targeted Marketing,Lead Scoring","HR Data - Reach HR professionals across the world - Thomson Data,Enterprise Contact Data and Corporate Data - Reach B2B Executives With Our Verified Business Records,Matrix Marketing - IT Decision Makers, Service Providers and Corporates in South Africa (6.5k executives),B2B C- Level, Executives and Professionals Contact Data & Email List B* USA 95% Deliverablity Guarantee, Plus 3 months Email List Hygiene Free. :",3,Firmographic Data
CEO Contact Data - Reach CEOs Across the Globe - Thomson Data,Thomson Data,CEO Contact Data - Reach CEOs Across the Globe - Thomson Data dataset provides information regarding: Firmographic Data and more.,"Targeted Marketing,Lead Scoring","CEO Contact Data - Reach 20M+ Chief Executive Officers Across the Globe Without any Hassle,Small Business Contact Data - Helps you reach Small Businesses across the Globe - Thomson Data,US Chief Executive Officers, CEOs | B2B Contact Data,Blue Mail Media's B2B Decision Makers Data Will Help You Reach Decision Makers Across the Globe :",5,Firmographic Data
"B2B International Executive Contact Database in USA, Canada, UK, Germany, Australia - Thomson Data",Thomson Data,"B2B International Executive Contact Database in USA, Canada, UK, Germany, Australia - Thomson Data dataset provides information regarding: B2B Data,B2B Marketing Fit Data,B2B Intent Data,Firmographic Data and more.","Targeted Marketing,Lead Scoring","B2B Decision Maker Data in USA, Canada, UK, Germany, Australia - Thomson Data,Healthcare Executives Database | 615,283 Verified Contacts of Healthcare Executives,Yodlee's International Panel | Consumer Transaction Data for Canada, Australia, New Zealand, South Africa, de-identified),USA C-level executives b2b contact dataset (e-mail, phone, addresses) :",5,"B2B Data,B2B Marketing Fit Data,B2B Intent Data,Firmographic Data"
"Technographic Data- Connect with technology top executives through technographic data, Worldwide (9 Million verified contacts) - Thomson Data",Thomson Data,"Technographic Data- Connect with technology top executives through technographic data, Worldwide (9 Million verified contacts) - Thomson Data dataset provides information regarding: Technographics Data,Company Data and more.",,"Technographic Data | InfoClutch - Easily connect with technology users across the globe through technographic data | Tech Install Data,Technographic Data - Connect with Decision Makers With Our Technographic Data | Tech Installs | Installed Base | Global Coverage,Wappalyzer Technology Installs on Websites - Crawl API - Technographic Data,Technographic Data Complete Tech Stack | Technographics Data + B2B Data + IT Intelligence :",4,"Technographics Data,Company Data"
Political Data | Voter Data - Run political campaigns easily - Thomson Data,Thomson Data,"Political Data | Voter Data - Run political campaigns easily - Thomson Data dataset provides information regarding: Political Poll Data,Political Data and more.",Lead Scoring,"Political Data - Connect with Voters, Fundraisers, Donors Through Marketing Campaigns,Adstra Political | Voter Data USA of political affiliation and voting history,Consumer data with socio-political attitudes,MBI Geodata - Political Risk Index on all countries in the world :",4,"Political Poll Data,Political Data"
TowerData - Name-Postal-Email - B2C Contact Data for USA,TowerData,"TowerData - Name-Postal-Email - B2C Contact Data for USA dataset provides information regarding: Marketing Attribution Data,Demographic Data and more.",,"TowerData MAID - Email - B2C Contact Data for USA,Intent Based Contact & Email Data B2C & B2B (USA) - HubioID,TowerData Email Validation - B2B Contact Data for USA,Affiliate Marketers Data, Contact Name, Email, Gender :",3,"Marketing Attribution Data,Demographic Data"
TowerData Email Activity Data for USA (1B Unique Events Monthly),TowerData,"TowerData Email Activity Data for USA (1B Unique Events Monthly) dataset provides information regarding: Individual Data,Marketing Attribution Data and more.",,"TowerData Opener Data - Email Data for USA (~150M Unique Emails),505 Economics: monthly luminosity data to measure economic activity and digital connectivity,Complementics Deterministic Identity Data for USA (1B+ Hashed Email / MAID Linkages),start.io Global Mobile Device Data - Global Data Coverage, 1B Unique Devices :",3,"Individual Data,Marketing Attribution Data"
TowerData MAID - Email - B2C Contact Data for USA,TowerData,"TowerData MAID - Email - B2C Contact Data for USA dataset provides information regarding: Demographic Data,Marketing Attribution Data and more.",,"TowerData - Name-Postal-Email - B2C Contact Data for USA,Intent Based Contact & Email Data B2C & B2B (USA) - HubioID,B2C Contact Data - Global Contact List - Reach B2C Audience Globally With Our Verified 200M+ B2C Contact Data,TowerData Email Validation - B2B Contact Data for USA :",4,"Demographic Data,Marketing Attribution Data"
Predictive Credit Intelligence by TrackStar: Consumer Credit Rating Data for USA (15 years of historical coverage),TrackStar,"Predictive Credit Intelligence by TrackStar: Consumer Credit Rating Data for USA (15 years of historical coverage) dataset provides information regarding: Demographic Data,Individual Data, Economic Data and more.",,"Fullfilment,GeoCreditIQ,Location intelligence datasets,Throtle - Consumer Data Intelligence USA with 150+ consumer attributes :",5,"Demographic Data,Individual Data, Economic Data"
Fullfilment by TrackStar: Consumer Credit Rating Data Service for USA (15 years of historical coverage),TrackStar,"Fullfilment by TrackStar: Consumer Credit Rating Data Service for USA (15 years of historical coverage) dataset provides information regarding: Demographic Data,Individual Data, Economic Data and more.",,"Predictive Credit Intelligence,GeoCreditIQ,EDI Historical End-of-Day Pricing Data with global coverage (13 years history),Yacodata: Core US Equities Fundamentals Data (20 years historical coverage) :",4,"Demographic Data,Individual Data, Economic Data"
"TraderMade Live & Historical Forex & CFD REST API - ""Enterprise-XL"" Plan (1,250,000 requests per month)",TraderMade,"TraderMade Live & Historical Forex & CFD REST API - ""Enterprise-XL"" Plan (1,250,000 requests per month) dataset provides information regarding: Foreign Exchange Market Data,Economic Data,Stock & Market Data,Trade Data and more.",,"Live & Historical Forex & CFD REST API - ""Enterprise"" Plan (600,000 requests per month),Live & Historical Forex & CFD REST API - ""Business"" Plan (50,000 requests per month),IPinfo.io IP API | Enterprise API Subscription with 3+ Million Requests,Historical Forex Data from 1986 | Olsen Data :",5,"Foreign Exchange Market Data,Economic Data,Stock & Market Data,Trade Data"
"Live Streaming FIX Feed - Live Global Currency Data (Forex, Equity Indices, Cryptocurrencies, Metals & Individual Stocks)",TraderMade,"Live Streaming FIX Feed - Live Global Currency Data (Forex, Equity Indices, Cryptocurrencies, Metals & Individual Stocks) dataset provides information regarding: Economic Data,Commodity Market Data and more.",,"NCFX Cryptocurrencies - Live Cryptocurrency Data, Global Coverage,Brain Sentiment Indicator - Currencies, Cryptocurrencies and Commodities,Finage Real-Time & Historical Cryptocurrency Market Feed - Global Cryptocurrency Data,Cloud Giant Level 2 Order Book Data-Cryptocurrency :",4,"Economic Data,Commodity Market Data"
TraderMade Premium FX Data Feed,TraderMade,"TraderMade Premium FX Data Feed dataset provides information regarding: Foreign Exchange Market Data,TV Streaming Rating Data,Trade Data,Stock & Market Data and more.",,"TraderMade Live & Historical Forex & CFD REST API - ""Enterprise-XL"" Plan (1,250,000 requests per month),EDI Real Time & Historical FX Feed (40+ currencies, minutely updated),IVC Industry Analytics Premium Service,Realtime and Historical Premium Global Market Indexes :",5,"Foreign Exchange Market Data,TV Streaming Rating Data,Trade Data,Stock & Market Data"
"Live Streaming WebSocket/Socket.io Data - ""Advanced"" Plan - 54 Instruments (PS200 per month)",TraderMade,"Live Streaming WebSocket/Socket.io Data - ""Advanced"" Plan - 54 Instruments (PS200 per month) dataset provides information regarding: Economic Data,Stock & Market Data,Trade Data and more.",,"Live Streaming WebSocket/Socket.io Data - ""Business"" Plan - 20 Instruments (PS100 per month),Live Streaming WebSocket/Socket.io Data - ""Professional"" Plan - 5 Instruments (PS50 per month),EDI Fixed Income Data Global (150 countries, 700k active debt instruments),eFIRDS :",5,"Economic Data,Stock & Market Data,Trade Data"
"Live Streaming WebSocket/Socket.io Data - ""Business"" Plan - 20 Instruments (PS100 per month)",TraderMade,"Live Streaming WebSocket/Socket.io Data - ""Business"" Plan - 20 Instruments (PS100 per month) dataset provides information regarding: Economic Data,Stock & Market Data,Trade Data and more.",,"Live Streaming WebSocket/Socket.io Data - ""Advanced"" Plan - 54 Instruments (PS200 per month),Live Streaming WebSocket/Socket.io Data - ""Professional"" Plan - 5 Instruments (PS50 per month),EDI Fixed Income Data Global (150 countries, 700k active debt instruments),ISIN2LEI API - Get access to financial instrument and legal entity data :",4,"Economic Data,Stock & Market Data,Trade Data"
"Live Streaming WebSocket/Socket.io Data - ""Professional"" Plan - 5 Instruments (PS50 per month)",TraderMade,"Live Streaming WebSocket/Socket.io Data - ""Professional"" Plan - 5 Instruments (PS50 per month) dataset provides information regarding: Economic Data,Stock & Market Data,Trade Data and more.",,"Live Streaming WebSocket/Socket.io Data - ""Advanced"" Plan - 54 Instruments (PS200 per month),Live Streaming WebSocket/Socket.io Data - ""Business"" Plan - 20 Instruments (PS100 per month),APAC Leads | Reach the Top Professionals Globally incl. Japan, Singapore - 44 Million Professionals,EDI Fixed Income Data Global (150 countries, 700k active debt instruments) :",3,"Economic Data,Stock & Market Data,Trade Data"
True Influence B2B Intent Data USA & Canada for B2B Marketing - 7000 B2B topics matched to contact intents,True Influence,"True Influence B2B Intent Data USA & Canada for B2B Marketing - 7000 B2B topics matched to contact intents dataset provides information regarding: B2B Intent Data,B2B Data and more.",,"True Influence B2B Intent Data USA & Canada for Lead Generation - 7000 B2B topics matched to contact intents,True Influence Intent Data USA & Canada for Advertising - 7000 intent topics matched to contact intent scores,Intent Based Contact & Email Data B2C & B2B (USA) - HubioID,TowerData Email Validation - B2B Contact Data for USA :",3,"B2B Intent Data,B2B Data"
B2B Intent Data for Account Based Marketing [ABM] (USA) - verified leads: 7000 B2B topics matched to contact level intent,True Influence,"B2B Intent Data for Account Based Marketing [ABM] (USA) - verified leads: 7000 B2B topics matched to contact level intent dataset provides information regarding: B2B Intent Data,B2B Data and more.",,"True Influence B2B Intent Data USA & Canada for B2B Marketing - 7000 B2B topics matched to contact intents,Intent Based Contact & Email Data B2C & B2B (USA) - HubioID,180byTwo AccountLink | MAIDs + IPs matched to Company Users in the USA for Mobile Account Based Marketing & ABM Cross Channel,LeadSift Contact Level B2B Intent Data - Competitive Insights incl. Europe, Australia, USA, South Africa :",4,"B2B Intent Data,B2B Data"
